Identifier	Title	Subtitle	Corporate Name/Author	Personal Name/Author	Type of resource	Genre	Date	Publisher	Place of publication	Date Other	Language	Form	Extent/Scale	Physical description note	Note	Subject(geographic)	Subject(geographic)	Subject(geographic)	Continent	Country	Province/state	Region	County	City	City section	Area	Coordinates
AirPhotos_Hamilton_1960_60133-11	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 11]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.411283 ; longitude -80.005789
AirPhotos_Hamilton_1960_60133-13	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 13]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.422069 ; longitude -80.045958
AirPhotos_Hamilton_1960_60133-15	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 15]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.43547 ; longitude -80.085268
AirPhotos_Hamilton_1960_60133-22	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 22]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.45242 ; longitude -80.063939
AirPhotos_Hamilton_1960_60133-36	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 36]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.464382 ; longitude -80.024757
AirPhotos_Hamilton_1960_60133-46	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 46]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.403426 ; longitude -80.189724
AirPhotos_Hamilton_1960_60133-48	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 48]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.390205 ; longitude -80.15316
AirPhotos_Hamilton_1960_60133-50	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 50]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.355141 ; longitude -80.093594
AirPhotos_Hamilton_1960_60133-54	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 54]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.341784 ; longitude -80.057888
AirPhotos_Hamilton_1960_60133-56	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 56]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.328424 ; longitude -80.022182
AirPhotos_Hamilton_1960_60133-58	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 58]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.314937 ; longitude -79.986477
AirPhotos_Hamilton_1960_60133-60	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 60]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.301696 ; longitude -79.950943
AirPhotos_Hamilton_1960_60133-69	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 69]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.30282 ; longitude -80.025616
AirPhotos_Hamilton_1960_60133-71	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 71]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.316311 ; longitude -80.061321
AirPhotos_Hamilton_1960_60133-73	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 73]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.329673 ; longitude -80.096684
AirPhotos_Hamilton_1960_60133-75	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 75]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.343158 ; longitude -80.132217
AirPhotos_Hamilton_1960_60133-77	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 77]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.356889 ; longitude -80.168438
AirPhotos_Hamilton_1960_60133-79	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 79]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.370117 ; longitude -80.204144
AirPhotos_Hamilton_1960_60133-81	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 81]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.383219 ; longitude -80.239677
AirPhotos_Hamilton_1960_60133-92A	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 92A]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.359135 ; longitude -80.255985
AirPhotos_Hamilton_1960_60133-94A	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 94A]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.345654 ; longitude -80.220108
AirPhotos_Hamilton_1960_60133-96A	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 96A]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.33217 ; longitude -80.184574
AirPhotos_Hamilton_1960_60133-98A	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 98A]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.318809 ; longitude -80.148869
AirPhotos_Hamilton_1960_60133-100A	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60133-Photo 100A]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.305194 ; longitude -80.113163
AirPhotos_Hamilton_1960_60134-41	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 41]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.065502 ; longitude -79.762802
AirPhotos_Hamilton_1960_60134-43	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 43]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.079672 ; longitude -79.800568
AirPhotos_Hamilton_1960_60134-45	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 45]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.093086 ; longitude -79.836102
AirPhotos_Hamilton_1960_60134-47	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 47]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.106498 ; longitude -79.871807
AirPhotos_Hamilton_1960_60134-49	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 49]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.119781 ; longitude -79.907341
AirPhotos_Hamilton_1960_60134-51	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 51]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.133061 ; longitude -79.942875
AirPhotos_Hamilton_1960_60134-53	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 53]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.14684 ; longitude -79.978924
AirPhotos_Hamilton_1960_60134-55	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 55]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.160114 ; longitude -80.014629
AirPhotos_Hamilton_1960_60134-59	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 59]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.186529 ; longitude -80.085697
AirPhotos_Hamilton_1960_60134-61	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 61]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.199545 ; longitude -80.120544
AirPhotos_Hamilton_1960_60134-63	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 63]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.212683 ; longitude -80.155735
AirPhotos_Hamilton_1960_60134-65	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 65]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.226193 ; longitude -80.191441
AirPhotos_Hamilton_1960_60134-72	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 72]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.297323 ; longitude -80.231953
AirPhotos_Hamilton_1960_60134-74	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 74]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.283829 ; longitude -80.196075
AirPhotos_Hamilton_1960_60134-78	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 78]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.256831 ; longitude -80.124149
AirPhotos_Hamilton_1960_60134-80	[Wentworth County, excluding most of the City of Hamilton, 5/21/1960] : [Flightline 60134-Photo 80]		Canadian Aero Service Ltd.		cartographic	Aerial photographs	5/21/1960	[Canadian Aero Service Ltd.]	[Place of publication unknown]	5/21/1960	eng	remote-sensing image	[1:4,800]	1 remote-sensing image ; 84 x 83 cm on sheet 86 x 88 cm.	Shows County of Wentworth, excluding most of the City of Hamilton. Source: Canadian Aero Service Ltd. [Air photos of Wenthworth County].	Hamilton-Wentworth (Ont.)			North America	Canada	Ontario		Wentworth	Hamilton	Flamborough, Dundas, Ancaster, Glanbrook, Stoney Creek		latitude 43.243452 ; longitude -80.088787
